CASOS DE PRUEBA PARA LA GENERACIÓN DE CÓDIGOS DE CONTROL VER.7.0												
												
												
#	NRO. AUTORIZACION	NRO. FACTURA	NIT/CI	FECHA	MONTO	LLAVE		5 VERHOEFF	CADENA	SUMATORIA PRODUCTO	BASE64	CODIGO CONTROL
1	7904006306693	876814	1665979	2008/05/19	"35,958.60"	zZ7Z]xssKqkEf_6K9uH(EcV+%x+u[Cca9T%+_$kiLjT8(zr3T9b5Fx2xG-D+_EBS	64	27773	7904006306693zZ787681455Z]xssKqk166597949Ef_6K9uH2008051967(EcV+%x+3595999u[Cc	"15,847,127"	ySxN	7B-F3-48-A8
2	8004005263848	673173	1666188	2008/08/10	"51,330.00"	PNRU4cgz7if)[tr#J69j=yCS57i=uVZ$n@nv6wxaRFP+AUf*L7Adiq3TT[Hw-@wt	64	69999	8004005263848PNRU4cg67317336z7if)[tr#J16661882369j=yCS57i2008081050=uVZ$n@nv65133016wxaRFP+AUf	"12,484,570"	ld/Q	2C-98-0E-96
3	7904006098968	165657	1666615	2008/06/30	"96,459.00"	m3dcSc)Dg#SN}prtK=9xn[m+pgAxL%N67G}QfwNZM+)IzCnvP$T*qjEKhmJnaDHm	64	62652	7904006098968m3dcSc)16565710Dg#166661503SN}prtK2008063010=9xn[m9645923+pg	"15,719,356"	xzky	AB-DD-0E-9B
4	7904004313753	826384	1666982	2008/06/22	"61,102.70"	Ebs[$c2d2NCg5FYj@6nU5y##a5d]eDVz%]xW6bzcd}Kd)\w\=c+)dZHneF#bqVL@	64	04261	7904004313753E82638481bs[$c1666982202d22008062277NCg5FYj6110385@6	"23,846,491"	1QzvR	04-FF-52-67-CD
5	1904008691195	978256	0	2008/02/01	"26,006.00"	pPgiFS%)v}@N4W3aQqqXCEHVS2[aDw_n%3)pFyU%bEB9)YXt%xNBub4@PZ4S9)ct	64	21885	1904008691195pPg97825622iF047S%)v}@N4W20080201233aQqqXCEH2600627VS2[aD	"15,810,900"	yK5K	62-12-AF-1B
6	1904002787435	996859	1671665	2008/05/28	"16,455.00"	5]T9cGiW$r-w%+=7$xnSnEujuWSpPUk=3SgHA6GHyBi*n(bZRwnn)-_xQtwziFI@	64	54351	19040027874355]T9cG99685966iW$r-167166536w%+=20080528877$xnSn1645585Eu	"16,383,149"	+Voj	7E-48-6E-CC
7	200400853354	742625	1672430	2007/04/23	"4,619.00"	WT+uL}d[Ie=IZpjQJtkr*py\B5gXD\A7DBy%-M\q\RnFrRGF[(xf*+NfWSBY{n%U	64	87058	200400853354WT+uL}d[I74262563e=IZpjQJ167243068t2007042317kr*py\461981B5gXD\A7D	"25,166,944"	1W0HW	FB-1B-FE-71-6C
8	8004009597732	897257	1675845	2008/11/10	"70,809.00"	-C)B}zh]f%yUVnTaFL)9}2p]6cKh28R]u*KXUsu7%pQX$URQ)*6#{Sd{nAs}--=J	64	52744	8004009597732-C)B}z89725735h]f167584524%yUVnTaF2008111064L)9}27080974p]6cK	"14,863,229"	uijz	F4-27-D8-1F
9	6004002578983	890986	1678842	2007/03/31	"25,089.49"	hsKS\KhKG-YmMGA5sTUKN[CEYhEQFC8KS=4$Wi9*uQGh[L)e78eF4V{@JXrFVqeh	64	00203	6004002578983h89098634s167884267KS\2007033186K2508947hKG-	"32,906,820"	1zXv4	EB-5E-52-76-57
10	6004004541556	565398	1679177	2008/05/05	"77,256.60"	#Vti+GE\sdnsdHf4JjKtC*ImSWzyIsct[yqQUGVmb)AEV]rxC$Cua@#F*bR4-rti	64	65626	6004004541556#Vti+GE56539848\sdnsd167917778Hf4JjKt2008050517C*I7725791mSWzyIs	"15,442,302"	ww5+	F5-EB-EE-7D
11	1004006752661	921113	1680744	2008/05/21	"85,419.00"	dg(nz6+#pZIWaD5+A]Gz_gt73w#QciAb99A5W{8mKr2{5TQNwMa+JgneLs{Lm]Pw	64	30969	1004006752661dg(n92111352z1680744386+#pZIWaD52008052199+A]Gz_g8541959t73w#QciAb	"27,456,581"	1elH5	13-6B-EC-3D-EA
12	1004004682156	446338	1684254	2008/09/19	"88,940.00"	vKrw9QxcsaATIq64dz_Aq*iQ\RyW]_WUgz6a8nXHIJ{)CAZM*%i9qa2vjYC3HD)J	64	38838	1004004682156vKrw446338999QxcsaATI168425421q64dz_Aq*2008091930iQ\R8894080yW]_WUgz6	"14,832,580"	ubF4	8D-71-24-A5
13	500400945523	867204	1686656	2007/10/13	"14,266.00"	2k3$(6)SJ+_y5wcQUDJTrA6FE8@n5wWihVWHSZW@c7Gm)u+7w=afdG4Es2j_*M]*	64	76329	5004009455232k3$(6)S86720435J+_y5wc168665692QUDJ2007101359TrA14266576FE8@n5wWi	"15,644,717"	xhWj	31-2B-A2-4E
14	7904001512631	857700	1689353	2007/05/31	"84,658.00"	v+#=uf)V\+MnKe{=Fbg#Unv4c]xN{MuXb)W%kVLI-+H(bdIDrV@J#i4GviBp*i+b	64	16424	7904001512631v+85770024#=uf)V\168935335+MnKe2007053141{=F8465815bg#Un	"17,429,230"	12VBk	E1-A3-64-23-FB
15	800400944012	843713	1692823	2008/12/19	"86,733.49"	{3Z*{YGI+MKmDV@p_+5LNwEKCJx6kdj[J9pyI+rtnyYjU[C434UCv546KG(f{zA5	64	61786	800400944012{3Z*{YG84371349I+169282367MKmDV@p_2008121900+5LNwEKCJ8673391x6kdj[J	"17,637,407"	13I0V	46-74-EC-4D-7A
16	6004007615890	373578	1695741	2008/12/22	"69,811.00"	[E2keCp@)Mn5abS3f4=z74jBA}Lt4gUPKgK[*DyPQBLxNjJN(ggZ3N43ALNgs3NA	64	75484	6004007615890[E2keCp@37357807)Mn5ab169574119S3f4=2008122209z74jBA}Lt69811374gUPK	"14,654,427"	tvlR	8E-95-8B-38
17	8004001302748	890658	1696233	2008/11/09	"66,117.00"	(N}]%4\is-vXpwt-P8D%k7]c2]v@TJaK[WfWYwS)nrj$M%FspA9c\jY(Hr[RMa+j	64	29451	8004001302748(N}89065852]%4\is-vXp169623384wt-P82008110966D%k7]c66117732]	"19,932,289"	1C2I1	A5-79-3D-97-E9
18	1004008785778	854518	0	2008/09/08	"38,932.00"	djRi+X*i7AKj$*YH7X6\@@7tTfASI8k)d3]b%hJML7K9x5K8F9-(#aG)BZ]4dVXh	64	20557	1004008785778djR85451876i047+X*i7A2008090896Kj$*YH38932217X6\@@7t	"20,100,584"	1ChNe	87-77-F4-86-BA
